L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1.4, 1, 13, 4, 32, gauss, 0.00355
40, 5.0, 1, 1, 4, 32, gauss, 0.0031125
40, 7.4, 1, 1, 4, 32, gauss, 0.004275
40, 7.6, 1, 29, 4, 32, gauss, 0.00345
40, 5.2, 1, 10, 4, 32, gauss, 0.0031625
40, 3.4, 1, 13, 4, 32, gauss, 0.0037125
40, 2.0, 1, 33, 4, 32, gauss, 0.0028375
40, 2.2, 1, 3, 4, 32, gauss, 0.003275
40, 5.4, 1, 24, 4, 32, gauss, 0.002875
40, 7.2, 1, 14, 4, 32, gauss, 0.0040125
40, 0.0, 1, 13, 4, 32, gauss, 0.0031625
40, 5.0, 1, 19, 4, 32, gauss, 0.0027
40, 7.4, 1, 21, 4, 32, gauss, 0.0035375
40, 7.6, 1, 36, 4, 32, gauss, 0.00315
40, 5.6, 1, 3, 4, 32, gauss, 0.0037875
40, 2.4, 1, 3, 4, 32, gauss, 0.0033
40, 5.8, 1, 35, 4, 32, gauss, 0.0028125
40, 6.2, 1, 39, 4, 32, gauss, 0.0032625
40, 1.4, 1, 26, 4, 32, gauss, 0.0028375
40, 3.0, 1, 15, 4, 32, gauss, 0.0039625
40, 6.2, 1, 7, 4, 32, gauss, 0.003625
40, 4.6, 1, 6, 4, 32, gauss, 0.0034375
40, 3.0, 1, 10, 4, 32, gauss, 0.0036125
40, 7.2, 1, 37, 4, 32, gauss, 0.0034625
40, 6.8, 1, 30, 4, 32, gauss, 0.0031375
40, 7.0, 1, 37, 4, 32, gauss, 0.00295
40, 6.4, 1, 37, 4, 32, gauss, 0.0031
40, 3.4, 1, 24, 4, 32, gauss, 0.0025375
40, 0.6, 1, 35, 4, 32, gauss, 0.0025375
40, 2.2, 1, 12, 4, 32, gauss, 0.0031375
40, 2.6, 1, 39, 4, 32, gauss, 0.00265
40, 0.0, 1, 24, 4, 32, gauss, 0.003075
40, 1.8, 1, 35, 4, 32, gauss, 0.0028125
40, 1.2, 1, 31, 4, 32, gauss, 0.00325
40, 0.4, 1, 29, 4, 32, gauss, 0.0029125
40, 7.4, 1, 40, 4, 32, gauss, 0.003225
40, 1.2, 1, 27, 4, 32, gauss, 0.0027625
40, 0.4, 1, 18, 4, 32, gauss, 0.0037125
40, 4.8, 1, 30, 4, 32, gauss, 0.0029125
40, 1.4, 1, 12, 4, 32, gauss, 0.0033125
40, 2.4, 1, 8, 4, 32, gauss, 0.0032625
40, 1.4, 1, 28, 4, 32, gauss, 0.002975
40, 0.6, 1, 20, 4, 32, gauss, 0.003125
40, 2.0, 1, 9, 4, 32, gauss, 0.0037125
40, 5.6, 1, 19, 4, 32, gauss, 0.00285
40, 2.0, 1, 10, 4, 32, gauss, 0.0033125
40, 2.6, 1, 6, 4, 32, gauss, 0.0032625
40, 3.2, 1, 35, 4, 32, gauss, 0.0027375
40, 7.0, 1, 30, 4, 32, gauss, 0.0029125
40, 7.2, 1, 13, 4, 32, gauss, 0.0037625
40, 6.2, 1, 18, 4, 32, gauss, 0.0032375
40, 5.0, 1, 6, 4, 32, gauss, 0.003675
40, 3.0, 1, 24, 4, 32, gauss, 0.002975
40, 1.0, 1, 13, 4, 32, gauss, 0.0028875
40, 1.0, 1, 16, 4, 32, gauss, 0.0038125
40, 3.6, 1, 19, 4, 32, gauss, 0.0032875
40, 1.0, 1, 8, 4, 32, gauss, 0.0033625
40, 6.0, 1, 12, 4, 32, gauss, 0.0030375
40, 1.2, 1, 30, 4, 32, gauss, 0.002825
40, 2.6, 1, 17, 4, 32, gauss, 0.003325
40, 5.2, 1, 39, 4, 32, gauss, 0.0031125
40, 2.0, 1, 1, 4, 32, gauss, 0.002725
40, 2.8, 1, 24, 4, 32, gauss, 0.002925
40, 5.4, 1, 7, 4, 32, gauss, 0.004025
40, 3.8, 1, 22, 4, 32, gauss, 0.002825
40, 1.2, 1, 36, 4, 32, gauss, 0.002725
