L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 5.5, 1, 20, 15, 32, gauss, 0.1966
40, 1.0, 1, 29, 15, 32, gauss, 0.1852
40, 5.5, 1, 34, 15, 32, gauss, 0.20055
40, 5.0, 1, 37, 15, 32, gauss, 0.1941
40, 2.5, 1, 29, 15, 32, gauss, 0.1849
40, 1.5, 1, 27, 15, 32, gauss, 0.1842
40, 5.0, 1, 24, 15, 32, gauss, 0.1991
40, 4.0, 1, 40, 15, 32, gauss, 0.18955
40, 6.0, 1, 31, 15, 32, gauss, 0.1936
40, 4.0, 1, 26, 15, 32, gauss, 0.1813
40, 1.0, 1, 24, 15, 32, gauss, 0.19545
40, 4.0, 1, 37, 15, 32, gauss, 0.1908
40, 2.5, 1, 32, 15, 32, gauss, 0.1947
40, 0.5, 1, 34, 15, 32, gauss, 0.1892
40, 5.0, 1, 36, 15, 32, gauss, 0.19335
40, 5.0, 1, 26, 15, 32, gauss, 0.19175
40, 2.5, 1, 33, 15, 32, gauss, 0.1823
40, 1.0, 1, 40, 15, 32, gauss, 0.1884
40, 6.0, 1, 34, 15, 32, gauss, 0.1945
40, 2.0, 1, 23, 15, 32, gauss, 0.1838
40, 2.5, 1, 35, 15, 32, gauss, 0.17335
40, 2.0, 1, 34, 15, 32, gauss, 0.189
40, 1.5, 1, 36, 15, 32, gauss, 0.18845
40, 6.5, 1, 23, 15, 32, gauss, 0.20165
40, 6.0, 1, 27, 15, 32, gauss, 0.1954
40, 4.5, 1, 33, 15, 32, gauss, 0.18875
40, 5.5, 1, 39, 15, 32, gauss, 0.1983
40, 5.0, 1, 33, 15, 32, gauss, 0.20165
40, 1.5, 1, 35, 15, 32, gauss, 0.18685
40, 4.0, 1, 20, 15, 32, gauss, 0.1811
40, 3.5, 1, 34, 15, 32, gauss, 0.18285
40, 0.0, 1, 26, 15, 32, gauss, 0.19105
40, 5.0, 1, 25, 15, 32, gauss, 0.197
40, 6.5, 1, 32, 15, 32, gauss, 0.2218
40, 2.5, 1, 37, 15, 32, gauss, 0.18645
40, 3.5, 1, 38, 15, 32, gauss, 0.18275
40, 6.5, 1, 25, 15, 32, gauss, 0.2021
40, 3.5, 1, 27, 15, 32, gauss, 0.1938
40, 3.0, 1, 39, 15, 32, gauss, 0.17805
40, 0.5, 1, 21, 15, 32, gauss, 0.20365
40, 5.5, 1, 40, 15, 32, gauss, 0.1995
40, 3.5, 1, 30, 15, 32, gauss, 0.1921
40, 0.0, 1, 30, 15, 32, gauss, 0.194
40, 2.0, 1, 29, 15, 32, gauss, 0.187
40, 4.5, 1, 22, 15, 32, gauss, 0.19065
40, 3.0, 1, 26, 15, 32, gauss, 0.18875
40, 4.5, 1, 20, 15, 32, gauss, 0.18245
40, 5.0, 1, 20, 15, 32, gauss, 0.1911
40, 2.0, 1, 35, 15, 32, gauss, 0.1871
40, 0.5, 1, 33, 15, 32, gauss, 0.1923
40, 0.0, 1, 27, 15, 32, gauss, 0.2022
40, 1.5, 1, 37, 15, 32, gauss, 0.18705
40, 5.5, 1, 38, 15, 32, gauss, 0.20025
40, 2.5, 1, 30, 15, 32, gauss, 0.18685
40, 3.5, 1, 25, 15, 32, gauss, 0.17445
40, 4.5, 1, 40, 15, 32, gauss, 0.1935
40, 4.0, 1, 21, 15, 32, gauss, 0.1807
40, 0.0, 1, 32, 15, 32, gauss, 0.1895
40, 2.0, 1, 37, 15, 32, gauss, 0.17885
40, 4.0, 1, 32, 15, 32, gauss, 0.19665
40, 2.5, 1, 20, 15, 32, gauss, 0.192
40, 1.5, 1, 39, 15, 32, gauss, 0.19015
40, 5.5, 1, 32, 15, 32, gauss, 0.1932
40, 5.5, 1, 29, 15, 32, gauss, 0.19335
40, 0.0, 1, 34, 15, 32, gauss, 0.18265
40, 0.0, 1, 31, 15, 32, gauss, 0.1947
40, 6.0, 1, 22, 15, 32, gauss, 0.1985
40, 6.5, 1, 36, 15, 32, gauss, 0.21975
40, 5.5, 1, 36, 15, 32, gauss, 0.19735
40, 0.5, 1, 35, 15, 32, gauss, 0.1929
40, 2.5, 1, 34, 15, 32, gauss, 0.1775
40, 0.5, 1, 39, 15, 32, gauss, 0.1838
40, 3.0, 1, 27, 15, 32, gauss, 0.184
40, 0.0, 1, 25, 15, 32, gauss, 0.192
40, 4.5, 1, 39, 15, 32, gauss, 0.18755
40, 4.5, 1, 34, 15, 32, gauss, 0.1882
40, 1.0, 1, 33, 15, 32, gauss, 0.1921
40, 4.0, 1, 35, 15, 32, gauss, 0.2001
40, 6.5, 1, 24, 15, 32, gauss, 0.20115
40, 1.0, 1, 28, 15, 32, gauss, 0.18015
40, 3.5, 1, 36, 15, 32, gauss, 0.18085
40, 2.0, 1, 27, 15, 32, gauss, 0.1796
40, 0.0, 1, 22, 15, 32, gauss, 0.1983
40, 6.5, 1, 34, 15, 32, gauss, 0.2215
40, 2.5, 1, 36, 15, 32, gauss, 0.18255
40, 1.0, 1, 32, 15, 32, gauss, 0.18285
40, 4.0, 1, 28, 15, 32, gauss, 0.17835
40, 1.0, 1, 30, 15, 32, gauss, 0.1916
40, 3.5, 1, 22, 15, 32, gauss, 0.1826
40, 4.0, 1, 24, 15, 32, gauss, 0.18535
40, 0.5, 1, 30, 15, 32, gauss, 0.18415
40, 6.0, 1, 29, 15, 32, gauss, 0.1941
40, 2.0, 1, 38, 15, 32, gauss, 0.18685
40, 5.0, 1, 34, 15, 32, gauss, 0.19715
40, 0.5, 1, 31, 15, 32, gauss, 0.18675
40, 4.0, 1, 39, 15, 32, gauss, 0.18875
40, 5.0, 1, 23, 15, 32, gauss, 0.198
40, 5.0, 1, 38, 15, 32, gauss, 0.1899
40, 2.0, 1, 31, 15, 32, gauss, 0.1891
40, 3.5, 1, 32, 15, 32, gauss, 0.18255
40, 4.5, 1, 23, 15, 32, gauss, 0.18525
40, 5.5, 1, 24, 15, 32, gauss, 0.1915
40, 1.0, 1, 21, 15, 32, gauss, 0.1909
40, 2.0, 1, 21, 15, 32, gauss, 0.18915
40, 3.5, 1, 28, 15, 32, gauss, 0.18345
40, 4.0, 1, 34, 15, 32, gauss, 0.1976
40, 0.0, 1, 37, 15, 32, gauss, 0.1908
40, 0.0, 1, 28, 15, 32, gauss, 0.18985
40, 4.5, 1, 24, 15, 32, gauss, 0.18335
40, 3.0, 1, 24, 15, 32, gauss, 0.1885
40, 5.0, 1, 29, 15, 32, gauss, 0.19185
40, 6.5, 1, 30, 15, 32, gauss, 0.21735
40, 2.5, 1, 28, 15, 32, gauss, 0.186
40, 0.5, 1, 29, 15, 32, gauss, 0.1838
40, 5.5, 1, 35, 15, 32, gauss, 0.19865
40, 3.0, 1, 35, 15, 32, gauss, 0.1864
40, 6.0, 1, 37, 15, 32, gauss, 0.1872
40, 5.0, 1, 27, 15, 32, gauss, 0.19435
40, 0.5, 1, 40, 15, 32, gauss, 0.18305
40, 4.0, 1, 25, 15, 32, gauss, 0.1824
40, 3.5, 1, 23, 15, 32, gauss, 0.18395
40, 1.0, 1, 22, 15, 32, gauss, 0.19935
40, 5.0, 1, 22, 15, 32, gauss, 0.19245
40, 0.5, 1, 36, 15, 32, gauss, 0.18685
40, 6.0, 1, 26, 15, 32, gauss, 0.19315
40, 3.0, 1, 28, 15, 32, gauss, 0.18365
