L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 5.5, 1, 4, 12, 32, gauss, 0.127
40, 7.5, 1, 2, 8, 32, gauss, 0.042
40, 3.5, 1, 8, 16, 32, gauss, 0.22
40, 7.0, 1, 13, 16, 32, gauss, 0.25
40, 1.0, 1, 13, 12, 32, gauss, 0.1105
40, 2.0, 1, 4, 8, 32, gauss, 0.0435
40, 2.0, 1, 10, 16, 32, gauss, 0.2325
40, 6.0, 1, 11, 16, 32, gauss, 0.2215
40, 7.0, 1, 10, 12, 32, gauss, 0.1295
40, 2.0, 1, 11, 8, 32, gauss, 0.0415
40, 6.0, 1, 1, 12, 32, gauss, 0.117
40, 2.5, 1, 5, 12, 32, gauss, 0.123
40, 5.0, 1, 7, 12, 32, gauss, 0.1105
40, 3.0, 1, 9, 8, 32, gauss, 0.0425
40, 4.5, 1, 13, 16, 32, gauss, 0.2225
40, 4.0, 1, 14, 8, 32, gauss, 0.0395
40, 7.0, 1, 8, 8, 32, gauss, 0.0305
40, 0.0, 1, 14, 12, 32, gauss, 0.1245
40, 2.0, 1, 7, 12, 32, gauss, 0.1225
40, 7.5, 1, 12, 8, 32, gauss, 0.042
40, 4.5, 1, 5, 8, 32, gauss, 0.03
40, 1.5, 1, 4, 16, 32, gauss, 0.234
40, 6.0, 1, 1, 16, 32, gauss, 0.2445
40, 2.5, 1, 7, 16, 32, gauss, 0.2265
40, 5.0, 1, 2, 12, 32, gauss, 0.1295
40, 3.5, 1, 9, 16, 32, gauss, 0.217
40, 3.0, 1, 13, 12, 32, gauss, 0.103
40, 5.5, 1, 10, 8, 32, gauss, 0.0275
40, 1.0, 1, 7, 16, 32, gauss, 0.254
40, 6.5, 1, 12, 8, 32, gauss, 0.0225
40, 7.0, 1, 2, 8, 32, gauss, 0.04
40, 4.5, 1, 2, 8, 32, gauss, 0.032
40, 0.0, 1, 3, 8, 32, gauss, 0.0385
40, 0.0, 1, 4, 12, 32, gauss, 0.1215
40, 4.5, 1, 11, 16, 32, gauss, 0.2245
40, 6.0, 1, 7, 8, 32, gauss, 0.039
40, 0.5, 1, 4, 16, 32, gauss, 0.24
40, 4.5, 1, 2, 16, 32, gauss, 0.231
40, 3.0, 1, 4, 8, 32, gauss, 0.0335
40, 2.5, 1, 11, 8, 32, gauss, 0.037
40, 3.0, 1, 1, 16, 32, gauss, 0.231
40, 6.5, 1, 9, 8, 32, gauss, 0.0325
40, 2.5, 1, 1, 12, 32, gauss, 0.131
40, 6.0, 1, 10, 12, 32, gauss, 0.1205
40, 3.5, 1, 11, 16, 32, gauss, 0.2085
40, 3.5, 1, 10, 16, 32, gauss, 0.21
40, 5.5, 1, 5, 16, 32, gauss, 0.216
40, 7.5, 1, 5, 16, 32, gauss, 0.2655
40, 3.0, 1, 5, 8, 32, gauss, 0.0285
40, 6.0, 1, 9, 12, 32, gauss, 0.1295
40, 7.0, 1, 14, 16, 32, gauss, 0.241
40, 3.5, 1, 1, 12, 32, gauss, 0.1215
40, 1.0, 1, 4, 8, 32, gauss, 0.037
40, 3.5, 1, 12, 8, 32, gauss, 0.038
40, 3.5, 1, 3, 12, 32, gauss, 0.1265
40, 3.0, 1, 11, 12, 32, gauss, 0.1115
40, 5.5, 1, 1, 8, 32, gauss, 0.0455
40, 3.5, 1, 11, 8, 32, gauss, 0.0415
40, 4.5, 1, 4, 12, 32, gauss, 0.121
40, 5.5, 1, 8, 8, 32, gauss, 0.0325
40, 6.0, 1, 2, 8, 32, gauss, 0.045
40, 1.5, 1, 12, 8, 32, gauss, 0.0385
40, 6.5, 1, 8, 8, 32, gauss, 0.0455
40, 2.0, 1, 2, 16, 32, gauss, 0.237
40, 7.0, 1, 10, 8, 32, gauss, 0.0415
40, 4.0, 1, 3, 8, 32, gauss, 0.032
40, 7.0, 1, 9, 16, 32, gauss, 0.236
40, 6.0, 1, 12, 12, 32, gauss, 0.125
40, 3.0, 1, 7, 12, 32, gauss, 0.124
40, 7.5, 1, 13, 8, 32, gauss, 0.053
40, 0.5, 1, 2, 12, 32, gauss, 0.121
40, 7.5, 1, 7, 16, 32, gauss, 0.2415
40, 7.0, 1, 3, 8, 32, gauss, 0.039
40, 0.0, 1, 13, 12, 32, gauss, 0.121
40, 3.0, 1, 3, 16, 32, gauss, 0.2335
40, 0.5, 1, 5, 8, 32, gauss, 0.039
40, 1.0, 1, 8, 12, 32, gauss, 0.1185
40, 2.0, 1, 10, 12, 32, gauss, 0.129
40, 4.0, 1, 7, 12, 32, gauss, 0.113
40, 5.0, 1, 6, 8, 32, gauss, 0.034
40, 1.5, 1, 12, 12, 32, gauss, 0.113
40, 0.0, 1, 5, 12, 32, gauss, 0.1325
40, 5.5, 1, 11, 16, 32, gauss, 0.2315
40, 0.0, 1, 9, 12, 32, gauss, 0.1225
40, 7.5, 1, 3, 8, 32, gauss, 0.045
40, 4.5, 1, 3, 12, 32, gauss, 0.1205
40, 1.5, 1, 5, 8, 32, gauss, 0.048
40, 3.5, 1, 9, 8, 32, gauss, 0.033
40, 2.5, 1, 2, 16, 32, gauss, 0.2355
40, 7.5, 1, 13, 16, 32, gauss, 0.262
40, 5.0, 1, 13, 16, 32, gauss, 0.2355
40, 2.0, 1, 6, 12, 32, gauss, 0.139
40, 6.5, 1, 11, 16, 32, gauss, 0.235
40, 6.5, 1, 9, 12, 32, gauss, 0.125
40, 2.0, 1, 13, 12, 32, gauss, 0.1135
40, 1.5, 1, 14, 8, 32, gauss, 0.048
40, 2.5, 1, 14, 16, 32, gauss, 0.2215
40, 4.0, 1, 11, 8, 32, gauss, 0.0385
40, 6.0, 1, 9, 8, 32, gauss, 0.036
40, 7.5, 1, 12, 12, 32, gauss, 0.1335
40, 7.0, 1, 11, 8, 32, gauss, 0.034
40, 5.0, 1, 12, 16, 32, gauss, 0.2015
40, 0.5, 1, 10, 12, 32, gauss, 0.127
40, 7.0, 1, 10, 16, 32, gauss, 0.259
40, 4.5, 1, 11, 12, 32, gauss, 0.1105
40, 5.5, 1, 12, 16, 32, gauss, 0.2275
40, 3.0, 1, 13, 8, 32, gauss, 0.036
40, 4.0, 1, 11, 16, 32, gauss, 0.2175
40, 4.0, 1, 8, 16, 32, gauss, 0.2195
40, 0.0, 1, 6, 16, 32, gauss, 0.246
40, 6.5, 1, 2, 16, 32, gauss, 0.2275
40, 1.0, 1, 9, 12, 32, gauss, 0.126
40, 0.5, 1, 7, 12, 32, gauss, 0.116
40, 6.0, 1, 13, 8, 32, gauss, 0.0295
40, 4.0, 1, 10, 16, 32, gauss, 0.2195
40, 2.5, 1, 6, 8, 32, gauss, 0.0345
40, 7.5, 1, 4, 8, 32, gauss, 0.0485
40, 6.0, 1, 6, 8, 32, gauss, 0.0405
40, 6.5, 1, 3, 8, 32, gauss, 0.041
40, 7.0, 1, 4, 16, 32, gauss, 0.23
40, 4.5, 1, 12, 16, 32, gauss, 0.216
40, 7.5, 1, 9, 12, 32, gauss, 0.1185
40, 1.0, 1, 13, 8, 32, gauss, 0.039
40, 4.0, 1, 7, 8, 32, gauss, 0.0405
40, 1.5, 1, 5, 16, 32, gauss, 0.237
40, 5.0, 1, 6, 12, 32, gauss, 0.1365
40, 5.0, 1, 11, 16, 32, gauss, 0.2005
40, 3.0, 1, 14, 16, 32, gauss, 0.2085
40, 1.5, 1, 11, 8, 32, gauss, 0.0315
40, 4.0, 1, 10, 12, 32, gauss, 0.1205
40, 4.0, 1, 6, 8, 32, gauss, 0.047
40, 3.0, 1, 5, 16, 32, gauss, 0.233
40, 4.5, 1, 4, 8, 32, gauss, 0.039
40, 7.5, 1, 9, 8, 32, gauss, 0.042
40, 2.5, 1, 4, 16, 32, gauss, 0.2375
40, 1.0, 1, 1, 16, 32, gauss, 0.231
40, 7.5, 1, 6, 16, 32, gauss, 0.266
40, 3.0, 1, 7, 16, 32, gauss, 0.2095
40, 3.5, 1, 1, 8, 32, gauss, 0.0435
40, 0.5, 1, 4, 12, 32, gauss, 0.133
40, 0.0, 1, 11, 8, 32, gauss, 0.053
40, 4.5, 1, 7, 12, 32, gauss, 0.117
40, 5.5, 1, 5, 12, 32, gauss, 0.0965
40, 5.0, 1, 2, 8, 32, gauss, 0.035
40, 4.5, 1, 13, 8, 32, gauss, 0.038
40, 7.0, 1, 13, 12, 32, gauss, 0.133
40, 4.0, 1, 5, 16, 32, gauss, 0.233
40, 3.5, 1, 7, 12, 32, gauss, 0.1225
40, 6.5, 1, 9, 16, 32, gauss, 0.212
40, 4.5, 1, 7, 16, 32, gauss, 0.232
40, 7.5, 1, 10, 8, 32, gauss, 0.0445
40, 5.5, 1, 1, 12, 32, gauss, 0.1125
40, 2.0, 1, 7, 16, 32, gauss, 0.24
40, 5.5, 1, 7, 16, 32, gauss, 0.225
40, 1.5, 1, 14, 12, 32, gauss, 0.127
40, 6.5, 1, 3, 12, 32, gauss, 0.128
40, 0.0, 1, 11, 16, 32, gauss, 0.2415
40, 2.0, 1, 6, 16, 32, gauss, 0.2245
40, 7.0, 1, 1, 12, 32, gauss, 0.144
40, 6.5, 1, 6, 8, 32, gauss, 0.0365
40, 2.0, 1, 1, 8, 32, gauss, 0.0365
40, 4.0, 1, 1, 12, 32, gauss, 0.1275
40, 5.5, 1, 4, 16, 32, gauss, 0.225
40, 6.0, 1, 5, 8, 32, gauss, 0.0375
