L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 3.5, 1, 19, 15, 32, 0.406176470588
40, 8.0, 1, 15, 15, 32, 0.519117647059
40, 4.5, 1, 20, 15, 32, 0.383823529412
40, 8.0, 1, 3, 15, 32, 0.457058823529
40, 0.0, 1, 9, 15, 32, 0.427058823529
40, 8.0, 1, 16, 15, 32, 0.491176470588
40, 3.5, 1, 13, 15, 32, 0.389705882353
40, 7.5, 1, 7, 15, 32, 0.444705882353
40, 7.0, 1, 14, 15, 32, 0.433529411765
40, 8.5, 1, 20, 15, 32, 0.542647058824
40, 6.0, 1, 16, 15, 32, 0.371176470588
40, 6.0, 1, 15, 15, 32, 0.398823529412
40, 4.5, 1, 18, 15, 32, 0.376764705882
40, 7.5, 1, 11, 15, 32, 0.469411764706
40, 5.5, 1, 6, 15, 32, 0.411176470588
40, 0.5, 1, 5, 15, 32, 0.415588235294
40, 7.5, 1, 10, 15, 32, 0.465588235294
40, 5.0, 1, 8, 15, 32, 0.368823529412
40, 0.5, 1, 20, 15, 32, 0.407352941176
40, 5.0, 1, 4, 15, 32, 0.411176470588
40, 6.5, 1, 3, 15, 32, 0.424411764706
40, 0.5, 1, 2, 15, 32, 0.406470588235
40, 5.5, 1, 8, 15, 32, 0.398235294118
40, 10.0, 1, 7, 15, 32, 0.742647058824
40, 9.5, 1, 10, 15, 32, 0.655294117647
40, 9.0, 1, 6, 15, 32, 0.59
40, 8.0, 1, 2, 15, 32, 0.476470588235
40, 8.0, 1, 19, 15, 32, 0.542058823529
40, 8.0, 1, 7, 15, 32, 0.497352941176
40, 7.5, 1, 17, 15, 32, 0.491764705882
40, 7.0, 1, 1, 15, 32, 0.418823529412
40, 9.5, 1, 17, 15, 32, 0.684411764706
40, 7.0, 1, 12, 15, 32, 0.437647058824
40, 7.5, 1, 1, 15, 32, 0.485882352941
40, 5.0, 1, 5, 15, 32, 0.390588235294
40, 8.5, 1, 9, 15, 32, 0.537058823529
40, 5.0, 1, 17, 15, 32, 0.375
40, 3.5, 1, 3, 15, 32, 0.417941176471
40, 8.5, 1, 3, 15, 32, 0.516176470588
40, 4.5, 1, 5, 15, 32, 0.403823529412
