L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 5.5, 1, 11, 15, 32, 0.36
40, 7.5, 1, 6, 15, 32, 0.39
40, 0.0, 1, 5, 15, 32, 0.49
40, 3.5, 1, 16, 15, 32, 0.36
40, 7.5, 1, 10, 15, 32, 0.4
40, 5.0, 1, 8, 15, 32, 0.33
40, 5.0, 1, 4, 15, 32, 0.37
40, 1.5, 1, 20, 15, 32, 0.31
40, 6.5, 1, 3, 15, 32, 0.38
40, 0.5, 1, 2, 15, 32, 0.43
40, 7.5, 1, 8, 15, 32, 0.52
40, 10.0, 1, 7, 15, 32, 0.82
40, 9.0, 1, 6, 15, 32, 0.5
40, 8.0, 1, 2, 15, 32, 0.47
40, 5.5, 1, 4, 15, 32, 0.34
40, 8.0, 1, 19, 15, 32, 0.5
40, 8.0, 1, 7, 15, 32, 0.56
40, 4.5, 1, 17, 15, 32, 0.31
40, 7.0, 1, 1, 15, 32, 0.42
40, 9.5, 1, 17, 15, 32, 0.74
40, 7.0, 1, 12, 15, 32, 0.45
40, 8.5, 1, 1, 15, 32, 0.51
40, 5.0, 1, 5, 15, 32, 0.41
40, 8.5, 1, 9, 15, 32, 0.51
40, 5.0, 1, 17, 15, 32, 0.31
40, 2.5, 1, 3, 15, 32, 0.5
40, 8.5, 1, 3, 15, 32, 0.45
40, 6.5, 1, 5, 15, 32, 0.35
40, 10.0, 1, 6, 15, 32, 0.84
40, 10.0, 1, 11, 15, 32, 0.72
40, 9.0, 1, 12, 15, 32, 0.61
40, 0.0, 1, 18, 15, 32, 0.43
40, 6.5, 1, 8, 15, 32, 0.36
40, 2.0, 1, 13, 15, 32, 0.42
40, 9.5, 1, 11, 15, 32, 0.67
40, 7.0, 1, 13, 15, 32, 0.49
40, 0.0, 1, 17, 15, 32, 0.41
40, 1.0, 1, 2, 15, 32, 0.39
40, 6.0, 1, 19, 15, 32, 0.45
40, 9.5, 1, 14, 15, 32, 0.56
40, 0.0, 1, 1, 15, 32, 0.46
40, 7.5, 1, 3, 15, 32, 0.47
40, 5.0, 1, 18, 15, 32, 0.39
40, 9.5, 1, 12, 15, 32, 0.69
40, 0.0, 1, 6, 15, 32, 0.46
40, 10.0, 1, 19, 15, 32, 0.8
40, 4.0, 1, 17, 15, 32, 0.47
40, 10.0, 1, 4, 15, 32, 0.69
40, 7.5, 1, 1, 15, 32, 0.41
40, 4.0, 1, 13, 15, 32, 0.5
40, 1.5, 1, 17, 15, 32, 0.3
40, 1.5, 1, 12, 15, 32, 0.34
40, 9.0, 1, 18, 15, 32, 0.63
40, 9.0, 1, 13, 15, 32, 0.62
40, 9.0, 1, 1, 15, 32, 0.64
40, 3.0, 1, 6, 15, 32, 0.46
40, 2.5, 1, 19, 15, 32, 0.41
40, 2.0, 1, 7, 15, 32, 0.34
40, 2.5, 1, 16, 15, 32, 0.34
40, 1.0, 1, 3, 15, 32, 0.45
40, 2.5, 1, 9, 15, 32, 0.52
40, 1.0, 1, 6, 15, 32, 0.39
40, 8.5, 1, 12, 15, 32, 0.55
40, 0.5, 1, 14, 15, 32, 0.47
40, 5.5, 1, 2, 15, 32, 0.38
40, 7.5, 1, 14, 15, 32, 0.48
40, 5.0, 1, 13, 15, 32, 0.47
40, 10.0, 1, 18, 15, 32, 0.65
40, 9.5, 1, 16, 15, 32, 0.66
40, 10.0, 1, 3, 15, 32, 0.72
40, 4.0, 1, 12, 15, 32, 0.31
40, 4.0, 1, 2, 15, 32, 0.43
40, 5.5, 1, 6, 15, 32, 0.48
40, 6.5, 1, 13, 15, 32, 0.52
40, 9.0, 1, 19, 15, 32, 0.66
40, 3.5, 1, 6, 15, 32, 0.34
40, 0.0, 1, 7, 15, 32, 0.39
40, 9.0, 1, 2, 15, 32, 0.54
40, 3.0, 1, 7, 15, 32, 0.41
40, 3.0, 1, 11, 15, 32, 0.46
40, 2.0, 1, 6, 15, 32, 0.32
40, 8.5, 1, 2, 15, 32, 0.51
40, 2.0, 1, 10, 15, 32, 0.34
40, 6.5, 1, 12, 15, 32, 0.46
40, 1.0, 1, 16, 15, 32, 0.4
40, 0.5, 1, 10, 15, 32, 0.41
40, 1.0, 1, 7, 15, 32, 0.38
40, 1.0, 1, 19, 15, 32, 0.39
40, 1.0, 1, 11, 15, 32, 0.41
