L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 1.8, 1, 23, 4, 32, gauss, 0.0
40, 0.8, 1, 34, 4, 32, gauss, 0.005
40, 1.4, 1, 2, 4, 32, gauss, 0.0
40, 5.2, 1, 22, 4, 32, gauss, 0.0
40, 7.0, 1, 15, 4, 32, gauss, 0.0
40, 5.6, 1, 33, 4, 32, gauss, 0.0
40, 1.4, 1, 26, 4, 32, gauss, 0.0
40, 5.6, 1, 1, 4, 32, gauss, 0.01
40, 5.2, 1, 31, 4, 32, gauss, 0.0
40, 7.2, 1, 36, 4, 32, gauss, 0.0
40, 0.4, 1, 8, 4, 32, gauss, 0.0
40, 4.0, 1, 14, 4, 32, gauss, 0.0
40, 5.0, 1, 29, 4, 32, gauss, 0.0
40, 4.0, 1, 37, 4, 32, gauss, 0.0
40, 2.4, 1, 18, 4, 32, gauss, 0.0
40, 1.4, 1, 7, 4, 32, gauss, 0.005
40, 3.2, 1, 37, 4, 32, gauss, 0.005
40, 0.6, 1, 30, 4, 32, gauss, 0.0
40, 6.8, 1, 26, 4, 32, gauss, 0.0
40, 6.0, 1, 4, 4, 32, gauss, 0.0
40, 0.6, 1, 37, 4, 32, gauss, 0.0
40, 6.6, 1, 2, 4, 32, gauss, 0.0
40, 3.6, 1, 6, 4, 32, gauss, 0.005
40, 0.4, 1, 24, 4, 32, gauss, 0.005
40, 0.2, 1, 38, 4, 32, gauss, 0.0
