L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 2.0, 1, 4, 8, 32, gauss, 0.0388
40, 2.0, 1, 10, 16, 32, gauss, 0.2312
40, 6.0, 1, 11, 16, 32, gauss, 0.2181
40, 4.5, 1, 8, 12, 32, gauss, 0.11595
40, 2.0, 1, 11, 8, 32, gauss, 0.0416
40, 2.0, 1, 7, 12, 32, gauss, 0.1305
40, 6.0, 1, 1, 12, 32, gauss, 0.1312
40, 2.5, 1, 5, 12, 32, gauss, 0.1277
40, 5.0, 1, 7, 12, 32, gauss, 0.1134
40, 3.0, 1, 9, 8, 32, gauss, 0.04185
40, 1.5, 1, 13, 16, 32, gauss, 0.22765
40, 4.0, 1, 14, 8, 32, gauss, 0.0345
40, 3.5, 1, 6, 12, 32, gauss, 0.1228
40, 0.5, 1, 14, 12, 32, gauss, 0.11675
40, 6.5, 1, 6, 12, 32, gauss, 0.1257
40, 7.5, 1, 12, 8, 32, gauss, 0.0418
40, 5.5, 1, 5, 8, 32, gauss, 0.0352
40, 1.5, 1, 4, 16, 32, gauss, 0.24005
40, 7.5, 1, 13, 8, 32, gauss, 0.04265
40, 6.0, 1, 1, 16, 32, gauss, 0.23685
40, 2.5, 1, 7, 16, 32, gauss, 0.2358
40, 5.0, 1, 2, 12, 32, gauss, 0.12535
40, 3.5, 1, 9, 16, 32, gauss, 0.22195
40, 4.5, 1, 11, 8, 32, gauss, 0.0359
40, 5.5, 1, 10, 8, 32, gauss, 0.03345
40, 1.0, 1, 7, 16, 32, gauss, 0.227
40, 6.0, 1, 7, 8, 32, gauss, 0.0361
40, 6.5, 1, 12, 8, 32, gauss, 0.0334
40, 7.0, 1, 2, 8, 32, gauss, 0.0426
40, 6.5, 1, 2, 8, 32, gauss, 0.04095
40, 0.0, 1, 3, 8, 32, gauss, 0.03415
40, 0.0, 1, 4, 12, 32, gauss, 0.1206
40, 4.5, 1, 11, 16, 32, gauss, 0.21375
40, 0.5, 1, 4, 12, 32, gauss, 0.1264
40, 0.0, 1, 4, 16, 32, gauss, 0.231
40, 7.5, 1, 2, 16, 32, gauss, 0.2579
40, 5.5, 1, 14, 16, 32, gauss, 0.21525
40, 3.0, 1, 4, 8, 32, gauss, 0.0376
40, 6.0, 1, 13, 8, 32, gauss, 0.0329
40, 3.0, 1, 1, 16, 32, gauss, 0.235
40, 5.5, 1, 9, 8, 32, gauss, 0.0328
40, 3.5, 1, 1, 12, 32, gauss, 0.12505
40, 6.0, 1, 10, 12, 32, gauss, 0.1173
40, 3.5, 1, 11, 16, 32, gauss, 0.21675
40, 1.5, 1, 10, 16, 32, gauss, 0.2275
40, 4.5, 1, 5, 16, 32, gauss, 0.2218
40, 5.5, 1, 5, 16, 32, gauss, 0.2134
40, 1.5, 1, 11, 16, 32, gauss, 0.2206
40, 3.0, 1, 5, 8, 32, gauss, 0.04055
40, 6.0, 1, 9, 12, 32, gauss, 0.11265
40, 7.0, 1, 14, 16, 32, gauss, 0.24875
40, 2.5, 1, 1, 12, 32, gauss, 0.1198
40, 5.5, 1, 7, 16, 32, gauss, 0.2193
40, 1.0, 1, 4, 8, 32, gauss, 0.0369
40, 2.5, 1, 12, 8, 32, gauss, 0.03655
40, 3.5, 1, 3, 12, 32, gauss, 0.1281
40, 3.0, 1, 11, 12, 32, gauss, 0.11385
40, 4.5, 1, 1, 8, 32, gauss, 0.0443
40, 5.5, 1, 11, 16, 32, gauss, 0.22015
40, 4.5, 1, 4, 12, 32, gauss, 0.1236
40, 6.5, 1, 8, 8, 32, gauss, 0.04175
40, 3.0, 1, 13, 12, 32, gauss, 0.10835
40, 6.0, 1, 2, 8, 32, gauss, 0.0403
40, 1.5, 1, 12, 8, 32, gauss, 0.0386
40, 0.5, 1, 8, 8, 32, gauss, 0.0389
40, 2.0, 1, 2, 16, 32, gauss, 0.23295
40, 7.0, 1, 10, 8, 32, gauss, 0.03925
40, 4.0, 1, 3, 8, 32, gauss, 0.03815
40, 7.0, 1, 9, 16, 32, gauss, 0.25035
40, 6.0, 1, 12, 12, 32, gauss, 0.11755
40, 3.0, 1, 7, 12, 32, gauss, 0.1158
40, 4.5, 1, 13, 8, 32, gauss, 0.0357
40, 7.5, 1, 7, 16, 32, gauss, 0.2549
40, 7.0, 1, 3, 8, 32, gauss, 0.0393
40, 0.5, 1, 13, 12, 32, gauss, 0.13325
40, 3.0, 1, 3, 16, 32, gauss, 0.22925
40, 6.5, 1, 5, 8, 32, gauss, 0.0372
40, 1.0, 1, 8, 12, 32, gauss, 0.1248
40, 3.5, 1, 9, 8, 32, gauss, 0.03895
40, 2.0, 1, 10, 12, 32, gauss, 0.123
40, 4.0, 1, 7, 12, 32, gauss, 0.12085
40, 5.0, 1, 6, 8, 32, gauss, 0.0397
40, 1.5, 1, 12, 12, 32, gauss, 0.12605
40, 0.0, 1, 5, 12, 32, gauss, 0.125
40, 5.5, 1, 7, 8, 32, gauss, 0.03555
40, 7.5, 1, 11, 16, 32, gauss, 0.2664
40, 0.0, 1, 9, 12, 32, gauss, 0.13425
40, 5.5, 1, 3, 8, 32, gauss, 0.0401
40, 7.5, 1, 3, 12, 32, gauss, 0.133
40, 0.5, 1, 11, 16, 32, gauss, 0.23325
40, 1.5, 1, 5, 8, 32, gauss, 0.04015
40, 2.5, 1, 9, 8, 32, gauss, 0.03615
40, 3.5, 1, 2, 16, 32, gauss, 0.2362
40, 4.5, 1, 13, 16, 32, gauss, 0.2166
40, 3.5, 1, 4, 8, 32, gauss, 0.04065
40, 2.0, 1, 6, 12, 32, gauss, 0.12285
40, 3.5, 1, 9, 12, 32, gauss, 0.1179
40, 2.0, 1, 13, 12, 32, gauss, 0.11965
40, 1.5, 1, 14, 8, 32, gauss, 0.03715
40, 2.5, 1, 14, 16, 32, gauss, 0.21385
40, 4.0, 1, 11, 8, 32, gauss, 0.0353
40, 6.0, 1, 9, 8, 32, gauss, 0.0339
40, 5.5, 1, 8, 8, 32, gauss, 0.03825
40, 5.5, 1, 12, 12, 32, gauss, 0.1101
40, 5.5, 1, 13, 16, 32, gauss, 0.21725
40, 7.0, 1, 11, 8, 32, gauss, 0.03925
40, 5.0, 1, 12, 16, 32, gauss, 0.20425
40, 4.5, 1, 10, 12, 32, gauss, 0.1131
40, 3.5, 1, 1, 16, 32, gauss, 0.238
40, 7.0, 1, 10, 16, 32, gauss, 0.2408
40, 7.5, 1, 11, 8, 32, gauss, 0.0408
40, 4.5, 1, 12, 16, 32, gauss, 0.212
40, 3.0, 1, 13, 8, 32, gauss, 0.0363
40, 4.0, 1, 11, 16, 32, gauss, 0.21825
40, 4.0, 1, 8, 16, 32, gauss, 0.2218
40, 3.5, 1, 6, 16, 32, gauss, 0.2312
40, 4.5, 1, 2, 16, 32, gauss, 0.23045
40, 1.0, 1, 9, 12, 32, gauss, 0.1294
40, 3.5, 1, 7, 12, 32, gauss, 0.12565
40, 4.0, 1, 10, 16, 32, gauss, 0.22165
40, 4.5, 1, 14, 16, 32, gauss, 0.20925
40, 2.5, 1, 6, 8, 32, gauss, 0.0403
40, 7.5, 1, 4, 8, 32, gauss, 0.04295
40, 6.0, 1, 6, 8, 32, gauss, 0.04035
40, 7.5, 1, 3, 8, 32, gauss, 0.04525
40, 7.0, 1, 4, 16, 32, gauss, 0.23345
40, 6.5, 1, 12, 16, 32, gauss, 0.22485
40, 4.5, 1, 9, 12, 32, gauss, 0.10715
40, 1.0, 1, 13, 8, 32, gauss, 0.03815
40, 4.0, 1, 7, 8, 32, gauss, 0.038
40, 1.5, 1, 5, 16, 32, gauss, 0.2354
40, 5.0, 1, 6, 12, 32, gauss, 0.12245
40, 5.0, 1, 11, 16, 32, gauss, 0.2099
40, 3.0, 1, 14, 16, 32, gauss, 0.21575
40, 1.5, 1, 11, 8, 32, gauss, 0.03875
40, 4.0, 1, 10, 12, 32, gauss, 0.11375
40, 3.0, 1, 5, 16, 32, gauss, 0.23215
40, 4.5, 1, 4, 8, 32, gauss, 0.04
40, 7.5, 1, 9, 8, 32, gauss, 0.0392
40, 2.5, 1, 4, 16, 32, gauss, 0.2267
40, 1.0, 1, 1, 16, 32, gauss, 0.2272
40, 5.5, 1, 6, 16, 32, gauss, 0.2221
40, 3.0, 1, 7, 16, 32, gauss, 0.22215
40, 0.0, 1, 1, 8, 32, gauss, 0.0359
40, 7.5, 1, 4, 12, 32, gauss, 0.13585
40, 0.0, 1, 11, 8, 32, gauss, 0.03685
40, 7.5, 1, 5, 12, 32, gauss, 0.13955
40, 5.0, 1, 2, 8, 32, gauss, 0.04405
40, 6.5, 1, 13, 8, 32, gauss, 0.03615
40, 0.0, 1, 12, 16, 32, gauss, 0.22605
40, 7.0, 1, 13, 12, 32, gauss, 0.1275
40, 4.0, 1, 5, 16, 32, gauss, 0.22415
40, 5.5, 1, 7, 12, 32, gauss, 0.1119
40, 4.5, 1, 9, 16, 32, gauss, 0.21005
40, 6.5, 1, 7, 16, 32, gauss, 0.22455
40, 6.5, 1, 10, 8, 32, gauss, 0.04
40, 0.5, 1, 1, 12, 32, gauss, 0.118
40, 2.0, 1, 7, 16, 32, gauss, 0.23285
40, 3.5, 1, 7, 16, 32, gauss, 0.2345
40, 1.5, 1, 14, 12, 32, gauss, 0.1292
40, 6.5, 1, 3, 12, 32, gauss, 0.12395
40, 2.5, 1, 11, 16, 32, gauss, 0.21735
40, 2.0, 1, 6, 16, 32, gauss, 0.23595
40, 7.0, 1, 1, 12, 32, gauss, 0.132
40, 7.5, 1, 6, 8, 32, gauss, 0.0429
40, 7.5, 1, 6, 16, 32, gauss, 0.2639
40, 2.0, 1, 1, 8, 32, gauss, 0.03535
40, 4.0, 1, 1, 12, 32, gauss, 0.1319
40, 6.5, 1, 4, 16, 32, gauss, 0.23375
40, 0.0, 1, 6, 16, 32, gauss, 0.2315
40, 6.0, 1, 5, 8, 32, gauss, 0.0374
40, 1.0, 1, 6, 12, 32, gauss, 0.1328
40, 4.5, 1, 5, 12, 32, gauss, 0.1204
40, 4.5, 1, 1, 12, 32, gauss, 0.12565
40, 3.5, 1, 13, 12, 32, gauss, 0.1155
40, 2.0, 1, 9, 16, 32, gauss, 0.2279
40, 5.0, 1, 1, 12, 32, gauss, 0.1235
40, 2.0, 1, 3, 8, 32, gauss, 0.03745
40, 0.0, 1, 11, 16, 32, gauss, 0.23465
40, 4.0, 1, 12, 16, 32, gauss, 0.21285
40, 7.5, 1, 9, 16, 32, gauss, 0.24215
40, 2.0, 1, 8, 16, 32, gauss, 0.2324
40, 1.0, 1, 7, 12, 32, gauss, 0.125
40, 6.5, 1, 13, 12, 32, gauss, 0.1221
40, 5.5, 1, 14, 12, 32, gauss, 0.11155
40, 3.5, 1, 14, 16, 32, gauss, 0.21955
40, 4.5, 1, 10, 8, 32, gauss, 0.03345
40, 3.0, 1, 3, 8, 32, gauss, 0.03935
40, 5.0, 1, 14, 16, 32, gauss, 0.21785
40, 7.0, 1, 6, 12, 32, gauss, 0.12865
40, 0.0, 1, 2, 8, 32, gauss, 0.0359
40, 6.5, 1, 6, 16, 32, gauss, 0.2316
40, 1.5, 1, 3, 8, 32, gauss, 0.0375
40, 1.5, 1, 4, 12, 32, gauss, 0.1315
40, 5.0, 1, 6, 16, 32, gauss, 0.22575
40, 2.0, 1, 11, 12, 32, gauss, 0.12375
40, 0.0, 1, 2, 16, 32, gauss, 0.22905
40, 3.5, 1, 10, 8, 32, gauss, 0.03565
40, 4.0, 1, 13, 16, 32, gauss, 0.21175
40, 0.5, 1, 13, 8, 32, gauss, 0.0412
40, 6.0, 1, 7, 16, 32, gauss, 0.2193
40, 4.0, 1, 4, 12, 32, gauss, 0.12615
40, 6.5, 1, 13, 16, 32, gauss, 0.23855
40, 3.0, 1, 14, 8, 32, gauss, 0.0347
40, 1.0, 1, 5, 16, 32, gauss, 0.2422
40, 6.5, 1, 5, 12, 32, gauss, 0.12495
40, 0.0, 1, 6, 8, 32, gauss, 0.0352
40, 2.5, 1, 5, 8, 32, gauss, 0.03825
40, 7.0, 1, 6, 16, 32, gauss, 0.24415
40, 3.5, 1, 14, 8, 32, gauss, 0.03795
40, 0.0, 1, 8, 8, 32, gauss, 0.0416
40, 3.0, 1, 10, 8, 32, gauss, 0.03925
40, 1.0, 1, 11, 16, 32, gauss, 0.2418
40, 3.0, 1, 11, 16, 32, gauss, 0.2206
40, 4.0, 1, 14, 16, 32, gauss, 0.212
40, 7.0, 1, 11, 12, 32, gauss, 0.1306
40, 6.0, 1, 13, 12, 32, gauss, 0.1127
40, 2.0, 1, 12, 16, 32, gauss, 0.2318
40, 5.0, 1, 11, 8, 32, gauss, 0.0313
40, 2.5, 1, 13, 12, 32, gauss, 0.11385
40, 3.0, 1, 14, 12, 32, gauss, 0.11315
40, 4.0, 1, 8, 8, 32, gauss, 0.03845
40, 6.5, 1, 5, 16, 32, gauss, 0.2243
40, 3.5, 1, 8, 16, 32, gauss, 0.2236
40, 5.5, 1, 1, 16, 32, gauss, 0.2404
40, 6.0, 1, 5, 12, 32, gauss, 0.12255
40, 6.5, 1, 6, 8, 32, gauss, 0.041
40, 1.0, 1, 3, 12, 32, gauss, 0.1226
40, 4.5, 1, 9, 8, 32, gauss, 0.0365
40, 1.5, 1, 2, 8, 32, gauss, 0.03675
40, 3.0, 1, 12, 8, 32, gauss, 0.0363
40, 3.0, 1, 6, 12, 32, gauss, 0.1315
40, 2.0, 1, 3, 12, 32, gauss, 0.13105
40, 4.0, 1, 11, 12, 32, gauss, 0.1145
40, 5.0, 1, 13, 8, 32, gauss, 0.0345
40, 2.5, 1, 12, 16, 32, gauss, 0.22285
40, 6.0, 1, 1, 8, 32, gauss, 0.0397
40, 7.5, 1, 5, 8, 32, gauss, 0.0426
40, 2.5, 1, 10, 8, 32, gauss, 0.0395
40, 2.5, 1, 8, 16, 32, gauss, 0.23145
40, 7.5, 1, 3, 16, 32, gauss, 0.2523
40, 2.0, 1, 7, 8, 32, gauss, 0.04045
40, 0.0, 1, 3, 12, 32, gauss, 0.12255
40, 2.5, 1, 8, 12, 32, gauss, 0.12305
40, 3.5, 1, 5, 16, 32, gauss, 0.22465
40, 0.0, 1, 6, 12, 32, gauss, 0.1204
40, 0.0, 1, 8, 12, 32, gauss, 0.12985
40, 6.5, 1, 9, 8, 32, gauss, 0.0397
40, 3.5, 1, 11, 8, 32, gauss, 0.0355
40, 2.5, 1, 10, 16, 32, gauss, 0.22165
40, 1.5, 1, 10, 12, 32, gauss, 0.12445
40, 3.0, 1, 8, 16, 32, gauss, 0.2286
40, 5.0, 1, 5, 12, 32, gauss, 0.119
40, 5.0, 1, 10, 16, 32, gauss, 0.2031
40, 7.5, 1, 12, 12, 32, gauss, 0.1395
40, 2.0, 1, 14, 12, 32, gauss, 0.111
40, 5.0, 1, 2, 16, 32, gauss, 0.23625
40, 4.0, 1, 9, 16, 32, gauss, 0.2201
40, 0.5, 1, 10, 12, 32, gauss, 0.1227
40, 6.5, 1, 8, 12, 32, gauss, 0.1225
40, 5.0, 1, 8, 16, 32, gauss, 0.21765
40, 4.0, 1, 1, 16, 32, gauss, 0.24115
40, 7.0, 1, 12, 12, 32, gauss, 0.1322
40, 0.5, 1, 14, 16, 32, gauss, 0.2184
40, 6.5, 1, 9, 16, 32, gauss, 0.2385
40, 0.0, 1, 12, 8, 32, gauss, 0.03795
40, 5.0, 1, 4, 16, 32, gauss, 0.2286
40, 2.0, 1, 8, 8, 32, gauss, 0.0393
40, 7.0, 1, 12, 8, 32, gauss, 0.03935
40, 7.0, 1, 2, 16, 32, gauss, 0.24215
40, 1.5, 1, 11, 12, 32, gauss, 0.1154
40, 4.5, 1, 8, 16, 32, gauss, 0.2138
40, 2.0, 1, 6, 8, 32, gauss, 0.03725
40, 4.0, 1, 3, 16, 32, gauss, 0.23355
40, 1.5, 1, 3, 12, 32, gauss, 0.12175
40, 7.0, 1, 5, 8, 32, gauss, 0.0411
40, 7.5, 1, 5, 16, 32, gauss, 0.26035
