 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
5.12,    1,    0.1122,    0.0846,    6.53327120212,	2.65915166667
10.24,    1,    0.1841,    0.2459,    7.29780345432,	3.46731022367
15.36,    1,    0.2317,    0.3872,    7.54441513308,	3.8869116983
20.48,    1,    0.2645,    0.4548,    7.66542600286,	4.11846941608
25.6,    1,    0.295,    0.4918,    7.7407635482,	4.20556564365
30.72,    1,    0.3142,    0.4917,    7.78697851851,	4.24206277227
35.84,    1,    0.3399,    0.5007,    7.82097889398,	4.2590358624
40.96,    1,    0.3618,    0.5001,    7.84739554545,	4.2498061691
46.08,    1,    0.3743,    0.4919,    7.86677605119,	4.21123507589
51.2,    1,    0.4011,    0.498,    7.88134191288,	4.18192663913
56.32,    1,    0.4242,    0.4952,    7.89376522836,	4.13995358862
61.44,    1,    0.4294,    0.4996,    7.90563943869,	4.10288362552
66.56,    1,    0.4542,    0.505,    7.91213794312,	4.05718612769
71.68,    1,    0.4642,    0.4985,    7.91953626758,	4.00600426339
76.8,    1,    0.4751,    0.4979,    7.92510039719,	3.96476217423
81.92,    1,    0.4843,    0.5064,    7.93060630928,	3.92515463686
87.04,    1,    0.4891,    0.5032,    7.93480027224,	3.87842640786
92.16,    1,    0.4868,    0.5052,    7.9391855479,	3.83926314674
97.28,    1,    0.5018,    0.4962,    7.94197715817,	3.80199941769
102.4,    1,    0.4873,    0.5028,    7.94452476408,	3.76855757161
107.52,    1,    0.497,    0.5008,    7.94703078235,	3.73952954195
112.64,    1,    0.4958,    0.4994,    7.94949625231,	3.715498085
117.76,    1,    0.4904,    0.4984,    7.95202185452,	3.68411603535
122.88,    1,    0.5049,    0.5039,    7.95328600005,	3.65266323175
