 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20.48,    1,    0.1958,    0.3275,    15.2625020426,	5.59148393484
40.96,    1,    0.2724,    0.4969,    15.6453761252,	6.67364192333
61.44,    1,    0.3213,    0.5125,    15.7687562258,	6.74671095422
81.92,    1,    0.3636,    0.5007,    15.8309960056,	6.51548931895
102.4,    1,    0.388,    0.4964,    15.8681719324,	6.19403432936
122.88,    1,    0.417,    0.4993,    15.8942079123,	5.87507677159
143.36,    1,    0.4429,    0.4961,    15.9107554954,	5.57381831228
163.84,    1,    0.457,    0.4973,    15.9236655479,	5.31214209646
184.32,    1,    0.4562,    0.5045,    15.93340775,	5.09161820804
204.8,    1,    0.477,    0.5049,    15.9405081607,	4.89892475766
225.28,    1,    0.4812,    0.497,    15.9474043219,	4.7383753453
245.76,    1,    0.4978,    0.5061,    15.9528759821,	4.5954834048
266.24,    1,    0.4914,    0.4981,    15.957123914,	4.46943251574
286.72,    1,    0.4972,    0.5019,    15.960588946,	4.36024051903
307.2,    1,    0.4977,    0.5012,    15.9636377059,	4.26171905338
327.68,    1,    0.4921,    0.4959,    15.9658765266,	4.17837025801
348.16,    1,    0.4976,    0.4914,    15.9687549536,	4.10208851389
368.64,    1,    0.503,    0.501,    15.9701428985,	4.03127444592
389.12,    1,    0.494,    0.5001,    15.9721381437,	3.97410696651
409.6,    1,    0.4931,    0.5025,    15.9734043727,	3.91876656051
430.08,    1,    0.5035,    0.506,    15.9746138568,	3.86962626536
450.56,    1,    0.5105,    0.4992,    15.9756670306,	3.8337193024
471.04,    1,    0.5003,    0.4969,    15.976708527,	3.78534170084
491.52,    1,    0.5011,    0.5007,    15.977919006,	3.7539767318
