anyons, CorrLen, exp len, q1 failure, q2 failure 
15, 32, 28.25, 0.49, 0.493733333333
15, 32, 28.5, 0.490866666667, 0.4892
15, 32, 28.75, 0.491533333333, 0.5002
15, 32, 29.0, 0.483866666667, 0.478466666667
15, 32, 29.25, 0.490933333333, 0.489133333333
15, 32, 29.5, 0.488, 0.4888
15, 32, 29.75, 0.492666666667, 0.488066666667
15, 32, 30.0, 0.4872, 0.485733333333
15, 32, 30.25, 0.494666666667, 0.490266666667
15, 32, 30.5, 0.494066666667, 0.4844
15, 32, 30.75, 0.4856, 0.491733333333
15, 32, 31.0, 0.480666666667, 0.481733333333
15, 32, 31.25, 0.487066666667, 0.4924
15, 32, 31.5, 0.4864, 0.490466666667
15, 32, 31.75, 0.489466666667, 0.484733333333
