 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
11.52,    1,    0.09,    0.14,    11.0931574401,	3.73468434343
23.04,    1,    0.25,    0.42,    11.6568883085,	5.06678242378
34.56,    1,    0.38,    0.5,    11.8277471055,	5.52219672282
46.08,    1,    0.37,    0.38,    11.9039859938,	5.34683856679
57.6,    1,    0.34,    0.53,    11.9479128683,	5.35463131707
69.12,    1,    0.4,    0.54,    11.9633936946,	5.23649126666
80.64,    1,    0.38,    0.44,    11.9967478938,	5.10268600224
92.16,    1,    0.35,    0.61,    12.0205237909,	4.93899505794
