 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20,    20,    0.56,    0.54,    29.5655805631,	20.5701804511
22.22,    18,    0.54,    0.52,    29.656016765,	21.1249399586
25,    16,    0.52,    0.5,    29.7151177233,	20.2786358974
28.57,    14,    0.52,    0.58,    29.6949966451,	19.4914741835
33.33,    12,    0.56,    0.5,    29.7807588545,	19.2464232937
40,    10,    0.42,    0.5,    29.8909935166,	18.5727836183
50,    8,    0.48,    0.48,    30.1097113439,	18.0625151307
66.66,    6,    0.58,    0.58,    30.15583539,	17.1882696955
100,    4,    0.48,    0.54,    30.3338029892,	14.9288957884
200,    2,    0.52,    0.54,    30.4697719074,	10.6929636578
