 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20,    20,    0.4983,    0.4944,    28.8783932926,	20.5408604414
22.22,    18,    0.4917,    0.4892,    28.9571749522,	20.2480011075
25,    16,    0.4995,    0.4973,    29.0345358802,	19.9549015274
28.57,    14,    0.4978,    0.5033,    29.1386849497,	19.5403503875
33.33,    12,    0.5074,    0.5094,    29.253138234,	19.1727582379
40,    10,    0.4999,    0.5043,    29.3543436454,	18.6990205235
50,    8,    0.4953,    0.4983,    29.4777968737,	18.0466055069
66.66,    6,    0.4918,    0.4954,    29.6065666057,	17.0587983792
100,    4,    0.4814,    0.5014,    29.7349489893,	15.1787117526
200,    2,    0.4798,    0.5093,    29.8707440823,	10.7586208059
