 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20,    20,    0.5,    0.58,    29.1641700947,	20.6976783626
22.22,    18,    0.52,    0.46,    29.1861705096,	20.3315552419
25,    16,    0.51,    0.5,    29.4067205295,	19.9345991081
28.57,    14,    0.57,    0.51,    29.3949261752,	19.2839709318
33.33,    12,    0.45,    0.57,    29.5654007839,	19.2076008424
40,    10,    0.51,    0.55,    29.7157002843,	18.4641953153
50,    8,    0.56,    0.53,    29.7677040687,	17.9658910475
66.66,    6,    0.54,    0.48,    29.9130195413,	17.1621864451
100,    4,    0.53,    0.51,    30.0571872851,	15.1803543783
200,    2,    0.45,    0.55,    30.1708400792,	10.6899246081
