 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20.48,    1,    0.17,    0.42,    15.4317887412,	5.60494101676
40.96,    1,    0.32,    0.52,    15.8073044904,	6.97751230873
61.44,    1,    0.34,    0.52,    15.914045815,	6.73611502544
81.92,    1,    0.31,    0.48,    15.9800224466,	6.49839202781
102.4,    1,    0.37,    0.46,    16.0277637457,	6.2030117342
122.88,    1,    0.48,    0.57,    16.0628120011,	5.88613060429
143.36,    1,    0.42,    0.54,    16.0679733794,	5.56341549422
163.84,    1,    0.47,    0.45,    16.0862825393,	5.29822429276
