 anyons , CorrLen , q1 failure , q2 failure, expected len
0, 1,    0, 0.0,  0.0
57, 1,    0, 0.12,  0.08
114, 1,    0, 0.44,  0.47
456, 1,    0, 0.49,  0.51
171, 1,    0, 0.5,  0.53
228, 1,    0, 0.42,  0.54
285, 1,    0, 0.47,  0.54
399, 1,    0, 0.51,  0.47
570, 1,    0, 0.0,  0.0
513, 1,    0, 0.22,  0.21
342, 1,    0, 0.52,  0.63
