anyons, CorrLen, exp len, q1 failure, q2 failure 
200, 2, 0, 0.0222, 0.0224
100, 4, 0, 0.028, 0.0278
66.66, 6, 0, 0.038, 0.033
50, 8, 0, 0.036, 0.0348
40, 10, 0, 0.0448, 0.0468
33.33, 12, 0, 0.049, 0.0476
28.57, 14, 0, 0.0466, 0.0474
25, 16, 0, 0.0538, 0.0516
22.22, 18, 0, 0.0524, 0.056
20, 20, 0, 0.0592, 0.0538
