L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 6.5, 1, 7.5, 15, 32, 0.404
40, 5.0, 1, 6.0, 15, 32, 0.402
40, 5.25, 1, 11.0, 15, 32, 0.384
40, 5.5, 1, 7.5, 15, 32, 0.415
40, 4.75, 1, 5.0, 15, 32, 0.39
40, 6.5, 1, 7.0, 15, 32, 0.436
40, 5.25, 1, 7.5, 15, 32, 0.383
40, 5.5, 1, 10.0, 15, 32, 0.355
40, 5.75, 1, 6.0, 15, 32, 0.384
40, 4.0, 1, 6.5, 15, 32, 0.407
40, 5.0, 1, 14.0, 15, 32, 0.397
40, 6.0, 1, 5.5, 15, 32, 0.432
40, 6.25, 1, 6.0, 15, 32, 0.394
40, 5.0, 1, 9.0, 15, 32, 0.368
40, 4.25, 1, 9.0, 15, 32, 0.369
40, 5.75, 1, 14.5, 15, 32, 0.359
40, 4.75, 1, 11.0, 15, 32, 0.375
40, 4.0, 1, 9.5, 15, 32, 0.431
40, 6.0, 1, 6.5, 15, 32, 0.401
40, 4.25, 1, 11.5, 15, 32, 0.366
40, 5.5, 1, 8.0, 15, 32, 0.405
40, 6.75, 1, 10.5, 15, 32, 0.465
40, 5.25, 1, 14.0, 15, 32, 0.393
40, 6.75, 1, 7.0, 15, 32, 0.428
40, 6.5, 1, 13.0, 15, 32, 0.43
40, 4.5, 1, 5.0, 15, 32, 0.407
40, 5.5, 1, 7.0, 15, 32, 0.368
40, 6.5, 1, 11.0, 15, 32, 0.368
40, 5.25, 1, 6.5, 15, 32, 0.402
40, 6.0, 1, 12.0, 15, 32, 0.4
40, 6.75, 1, 5.5, 15, 32, 0.401
40, 5.0, 1, 14.5, 15, 32, 0.397
40, 4.25, 1, 14.5, 15, 32, 0.383
40, 4.0, 1, 8.0, 15, 32, 0.368
40, 4.5, 1, 6.5, 15, 32, 0.36
40, 6.25, 1, 13.0, 15, 32, 0.411
40, 4.75, 1, 10.0, 15, 32, 0.367
40, 6.5, 1, 12.0, 15, 32, 0.394
40, 5.5, 1, 12.5, 15, 32, 0.371
40, 5.25, 1, 12.5, 15, 32, 0.356
40, 6.75, 1, 8.5, 15, 32, 0.411
40, 5.25, 1, 11.5, 15, 32, 0.378
40, 5.0, 1, 10.5, 15, 32, 0.355
40, 6.0, 1, 11.5, 15, 32, 0.433
40, 4.0, 1, 7.0, 15, 32, 0.408
40, 6.25, 1, 7.5, 15, 32, 0.451
40, 5.75, 1, 12.5, 15, 32, 0.334
40, 6.25, 1, 14.5, 15, 32, 0.413
40, 4.0, 1, 5.5, 15, 32, 0.384
40, 6.25, 1, 7.0, 15, 32, 0.408
40, 6.75, 1, 8.0, 15, 32, 0.387
40, 4.75, 1, 10.5, 15, 32, 0.382
40, 6.5, 1, 14.0, 15, 32, 0.394
40, 6.0, 1, 11.0, 15, 32, 0.379
40, 4.75, 1, 5.5, 15, 32, 0.397
40, 5.75, 1, 7.5, 15, 32, 0.381
40, 6.0, 1, 7.0, 15, 32, 0.409
40, 5.25, 1, 9.5, 15, 32, 0.343
40, 6.75, 1, 12.5, 15, 32, 0.426
40, 5.75, 1, 8.5, 15, 32, 0.378
