L, w_bar, strength, sigma_sq, anyons, N, p_failure 
40, 6.0, 1, 12.5, 15, 32, 0.3966
40, 4.75, 1, 13.5, 15, 32, 0.367
40, 4.25, 1, 5.0, 15, 32, 0.4033
40, 4.75, 1, 14.0, 15, 32, 0.3636
40, 5.25, 1, 10.5, 15, 32, 0.3844
40, 5.75, 1, 13.5, 15, 32, 0.3887
40, 6.0, 1, 7.5, 15, 32, 0.3929
40, 6.5, 1, 7.5, 15, 32, 0.4019
40, 5.0, 1, 6.0, 15, 32, 0.3888
40, 5.25, 1, 11.0, 15, 32, 0.3831
40, 5.5, 1, 7.5, 15, 32, 0.396
40, 6.5, 1, 5.0, 15, 32, 0.3935
40, 5.5, 1, 5.0, 15, 32, 0.3855
40, 4.25, 1, 7.0, 15, 32, 0.3961
40, 6.25, 1, 6.5, 15, 32, 0.4074
40, 5.75, 1, 6.0, 15, 32, 0.3944
40, 4.0, 1, 5.5, 15, 32, 0.4007
40, 5.0, 1, 14.0, 15, 32, 0.3996
40, 5.5, 1, 9.5, 15, 32, 0.3789
40, 6.25, 1, 6.0, 15, 32, 0.3971
40, 5.0, 1, 9.0, 15, 32, 0.3685
40, 4.25, 1, 9.0, 15, 32, 0.3642
40, 5.75, 1, 14.5, 15, 32, 0.3796
40, 4.75, 1, 11.0, 15, 32, 0.3698
40, 4.0, 1, 13.5, 15, 32, 0.3814
40, 6.0, 1, 5.5, 15, 32, 0.3965
40, 4.25, 1, 7.5, 15, 32, 0.3895
40, 4.0, 1, 13.0, 15, 32, 0.3671
40, 6.75, 1, 10.5, 15, 32, 0.4381
40, 4.25, 1, 14.0, 15, 32, 0.3866
40, 6.5, 1, 10.0, 15, 32, 0.4137
40, 4.5, 1, 5.0, 15, 32, 0.3964
40, 4.75, 1, 7.0, 15, 32, 0.3869
40, 5.75, 1, 11.0, 15, 32, 0.3913
40, 5.25, 1, 6.5, 15, 32, 0.4005
40, 6.0, 1, 12.0, 15, 32, 0.3814
40, 5.5, 1, 14.5, 15, 32, 0.3922
40, 6.75, 1, 5.5, 15, 32, 0.4052
40, 4.25, 1, 14.5, 15, 32, 0.3806
40, 5.5, 1, 11.0, 15, 32, 0.3883
40, 4.0, 1, 8.0, 15, 32, 0.3809
40, 6.5, 1, 6.5, 15, 32, 0.4174
40, 6.25, 1, 13.0, 15, 32, 0.4027
40, 6.75, 1, 10.0, 15, 32, 0.4144
40, 6.5, 1, 12.0, 15, 32, 0.3957
40, 5.5, 1, 12.5, 15, 32, 0.3764
40, 5.25, 1, 12.5, 15, 32, 0.3818
40, 4.75, 1, 8.5, 15, 32, 0.3941
40, 5.25, 1, 11.5, 15, 32, 0.3758
40, 5.0, 1, 14.5, 15, 32, 0.4013
40, 6.0, 1, 11.5, 15, 32, 0.4047
40, 4.0, 1, 7.0, 15, 32, 0.3985
40, 6.25, 1, 7.5, 15, 32, 0.4084
40, 5.75, 1, 12.5, 15, 32, 0.3783
40, 4.0, 1, 7.5, 15, 32, 0.4011
40, 4.25, 1, 11.5, 15, 32, 0.373
40, 4.75, 1, 10.5, 15, 32, 0.3592
40, 6.5, 1, 14.0, 15, 32, 0.4067
40, 6.0, 1, 11.0, 15, 32, 0.3951
40, 5.5, 1, 5.5, 15, 32, 0.3866
40, 6.0, 1, 7.0, 15, 32, 0.3828
40, 5.75, 1, 5.0, 15, 32, 0.3924
40, 6.75, 1, 12.5, 15, 32, 0.4449
40, 5.5, 1, 8.5, 15, 32, 0.3953
40, 6.5, 1, 13.0, 15, 32, 0.404
40, 6.75, 1, 9.0, 15, 32, 0.4307
40, 5.75, 1, 11.5, 15, 32, 0.3706
40, 6.25, 1, 14.5, 15, 32, 0.3825
40, 4.25, 1, 6.5, 15, 32, 0.3961
40, 4.75, 1, 12.5, 15, 32, 0.3535
40, 4.25, 1, 6.0, 15, 32, 0.3854
40, 5.0, 1, 10.0, 15, 32, 0.3881
40, 5.0, 1, 13.0, 15, 32, 0.3899
40, 5.75, 1, 7.5, 15, 32, 0.4018
40, 6.25, 1, 9.0, 15, 32, 0.3914
40, 6.5, 1, 10.5, 15, 32, 0.4347
40, 4.0, 1, 14.0, 15, 32, 0.3751
40, 6.5, 1, 8.5, 15, 32, 0.4291
40, 6.25, 1, 8.0, 15, 32, 0.4026
40, 6.25, 1, 11.5, 15, 32, 0.4063
40, 4.0, 1, 12.0, 15, 32, 0.3684
40, 5.25, 1, 12.0, 15, 32, 0.4035
40, 4.25, 1, 12.5, 15, 32, 0.3698
40, 4.5, 1, 14.0, 15, 32, 0.3755
40, 5.5, 1, 8.0, 15, 32, 0.4047
40, 4.5, 1, 6.0, 15, 32, 0.4073
40, 4.75, 1, 10.0, 15, 32, 0.3749
