 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20,    20,    0.4,    0.3,    28.9470991434,	7.27714285714
22.22,    18,    0.3,    0.3,    29.034664266,	7.35415019763
25,    16,    0.5,    0.3,    29.2647327778,	6.611
28.57,    14,    0.4,    0.5,    29.0242423989,	6.25799708082
33.33,    12,    0.7,    0.4,    29.2403995102,	5.51770743488
40,    10,    0.2,    0.4,    29.219688631,	5.26566801619
50,    8,    0.4,    0.3,    29.4599097382,	4.652539254
66.66,    6,    0.3,    0.4,    29.6380817999,	3.89657705121
100,    4,    0.0,    0.1,    29.7633544334,	3.01666837646
200,    2,    0.0,    0.0,    29.8736507952,	1.92310593831
