 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20,    20,    0.479,    0.364,    28.8334849385,	7.41827301007
22.22,    18,    0.506,    0.382,    28.9200062678,	7.04225033598
25,    16,    0.505,    0.39,    29.053270058,	6.63842199858
28.57,    14,    0.486,    0.387,    29.1339447617,	6.18345624409
33.33,    12,    0.459,    0.346,    29.2358474546,	5.7068673049
40,    10,    0.476,    0.333,    29.3551392467,	5.19412784523
50,    8,    0.445,    0.293,    29.4837384325,	4.59465224989
66.66,    6,    0.335,    0.198,    29.6092161249,	3.89927804745
100,    4,    0.121,    0.077,    29.720322564,	3.03596162567
200,    2,    0.0,    0.0,    29.8639959933,	1.94641520395
