 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
0.5,    1,    0.003,    0.003,    0.608708333333,	0.497566666667
1.0,    1,    0.011,    0.006,    1.16865722222,	0.978916666667
1.5,    1,    0.057,    0.054,    1.49757334467,	1.08554285714
2.0,    1,    0.085,    0.079,    1.81596859623,	1.18297738095
2.5,    1,    0.132,    0.143,    1.94805526368,	1.21919801587
3.0,    1,    0.195,    0.193,    2.08566102899,	1.2197968254
3.5,    1,    0.293,    0.272,    2.14759414966,	1.25371666667
4.0,    1,    0.338,    0.319,    2.18458441004,	1.24176547619
4.5,    1,    0.386,    0.363,    2.21250896093,	1.23606904762
5.0,    1,    0.432,    0.435,    2.24260441586,	1.23342301587
5.5,    1,    0.431,    0.443,    2.25590755417,	1.21936388889
6.0,    1,    0.439,    0.451,    2.2676608912,	1.20722301587
6.5,    1,    0.452,    0.479,    2.27255837569,	1.19431150794
7.0,    1,    0.489,    0.522,    2.27759286722,	1.18837142857
7.5,    1,    0.477,    0.5,    2.28056063587,	1.19545515873
8.0,    1,    0.491,    0.498,    2.2884184838,	1.18441190476
8.5,    1,    0.524,    0.521,    2.28986412439,	1.18023690476
9.0,    1,    0.496,    0.516,    2.29214437012,	1.1725
9.5,    1,    0.484,    0.494,    2.29240371118,	1.18170198413
10.0,    1,    0.509,    0.503,    2.29026395109,	1.17543373016
10.5,    1,    0.511,    0.493,    2.29178759354,	1.18630555556
11.0,    1,    0.488,    0.508,    2.29215047981,	1.1802952381
11.5,    1,    0.494,    0.483,    2.28807454853,	1.17508373016
12.0,    1,    0.505,    0.495,    2.29074356584,	1.17677896825
