 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
5.12,    1,    0.0,    0.0,    7.21908847307,    1.05986098591
10.24,    1,    0.0001,    0.0,    7.66399718586,    1.12112857173
15.36,    1,    0.0039,    0.0036,    7.79240718109,    1.17754597021
20.48,    1,    0.0335,    0.035,    7.85691099251,    1.22640310976
25.6,    1,    0.142,    0.1354,    7.89299815807,    1.25988909071
30.72,    1,    0.308,    0.3038,    7.91562912256,    1.27586560836
35.84,    1,    0.4111,    0.4075,    7.93025599165,    1.27441694029
40.96,    1,    0.4742,    0.4676,    7.94120184175,    1.26720125604
46.08,    1,    0.4907,    0.4898,    7.94840075219,    1.25595393058
