 anyons , CorrLen , q1 failure , q2 failure , Avg man dist, Avg Match Dist
20.48,    1,    0.0,    0.0,    15.6358990104,    1.06103608622
40.96,    1,    0.0,    0.0,    15.8343949485,    1.12006019085
61.44,    1,    0.0002,    0.0002,    15.8977791073,    1.17673086303
81.92,    1,    0.009,    0.0085,    15.9288992256,    1.22651030311
102.4,    1,    0.13,    0.1328,    15.9464498908,    1.26106821178
122.88,    1,    0.3675,    0.3804,    15.9576002077,    1.27559262013
143.36,    1,    0.4861,    0.4851,    15.9651456474,    1.27356122039
163.84,    1,    0.5112,    0.4916,    15.9705063287,    1.26512253132
184.32,    1,    0.4983,    0.4988,    15.9743797586,    1.25437779036
